"id","code","name","rate","limit","subtrahend","situation","group_id:id"
"001","001","Sueldos y Salarios",,,,,
"002","002","Honorarios Profesionales No Mercantiles (PNR)",0.03,0,2.5,"PNR","l10n_ve_tax_islr.islr_group_1_HPNM"
"003","003","Honorarios Profesionales No Mercantiles (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_HPNM"
"004","004","Honorarios Profesionales No Mercantiles (PJD)",0.05,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_HPNM"
"005","005","Honorarios Profesionales No Mercantiles (PJND)",0.15,2000,0,"PJND","l10n_ve_tax_islr.islr_group_1_HPNM"
"005","005","Honorarios Profesionales No Mercantiles (PJND)",0.22,3000,0,"PJND","l10n_ve_tax_islr.islr_group_1_HPNM"
"005","005","Honorarios Profesionales No Mercantiles (PJND)",0.34,-1,0,"PJND","l10n_ve_tax_islr.islr_group_1_HPNM"
"006","006","Honorarios Profesionales Mancomunados No Mercantiles (PNR)",0.03,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_HPMNM"
"007","007","Honorarios    Profesionales    Mancomunados    No    Mercantiles (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_HPMNM"
"008","008","Honorarios Profesionales Mancomunados No Mercantiles (PJD)",0.05,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_HPMNM"
"009","009","Honorarios    Profesionales    Mancomunados    No    Mercantiles (PJND)",0.15,2000,0,"PJND","l10n_ve_tax_islr.islr_group_1_HPMNM"
"009","009","Honorarios    Profesionales    Mancomunados    No    Mercantiles (PJND)",0.22,3000,0,"PJND","l10n_ve_tax_islr.islr_group_1_HPMNM"
"009","009","Honorarios    Profesionales    Mancomunados    No    Mercantiles (PJND)",0.34,-1,0,"PJND","l10n_ve_tax_islr.islr_group_1_HPMNM"
"010","010","Honorarios   Profesionales   pagados   a   Jinetes,   Veterinarios, Preparadores o Entrenadores (PNR)",0.03,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_HPpaJ"
"011","011","Honorarios   Profesionales   pagados   a   Jinetes,   Veterinarios, Preparadores o Entrenadores (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_HPpaJ"
"012","012","Honorarios   Profesionales   pagados   por   Clínicas,   Hospitales, Centros   de   Salud,   Bufetes,   Escritorios,   Oficinas,   Colegios Profesionales  u  otra  Institución  Profesionales  No  Mercantiles  a Profesionales sin relación de dependencia (PNR)",0.03,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_HPppC"
"013","013","Honorarios   Profesionales   pagados   por   Clínicas,   Hospitales, Centros   de   Salud,   Bufetes,   Escritorios,   Oficinas,   Colegios Profesionales  u  otra  Institución  Profesionales  No  Mercantiles  a Profesionales sin relación de dependencia (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_HPppC"
"014","014","Comisiones pagadas por la venta de bienes inmuebles (PNR)",0.03,0,2.5,"PNR","l10n_ve_tax_islr.islr_group_1_Cpplvdbii"
"015","015","Comisiones pagadas por la venta de bienes inmuebles (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_Cpplvdbii"
"016","016","Comisiones pagadas por la venta de bienes inmuebles (PJD)",0.05,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_Cpplvdbii"
"017","017","Comisiones pagadas por la venta de bienes inmuebles (PJND)",0.05,0,0,"PJND","l10n_ve_tax_islr.islr_group_1_Cpplvdbii"
"018","018","Cualquier otra Comisión distintas a Remuneraciones accesorias de los sueldos, salarios y demás remuneraciones similares (PNR)",0.03,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_CoCdaRaddlssyd"
"019","019","Cualquier otra Comisión distintas a Remuneraciones accesorias de los sueldos, salarios y demás remuneraciones similares (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_CoCdaRaddlssyd"
"020","020","Cualquier otra Comisión distintas a Remuneraciones accesorias de los sueldos, salarios y demás remuneraciones similares (PJD)",0.05,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_CoCdaRaddlssyd"
"021","021","Cualquier otra Comisión distintas a Remuneraciones accesorias de los sueldos, salarios y demás remuneraciones similares (PJND)",0.05,0,0,"PJND","l10n_ve_tax_islr.islr_group_1_CoCdaRaddlssyd"
"022","022","Intereses de Capitales tomados en préstamo e invertidos en la producción de la renta (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_IdCtepeiielpdl"
"023","023","Intereses de Capitales tomados en préstamo e invertidos en la producción de la renta (PJND)",0.15,2000,0,"PJND","l10n_ve_tax_islr.islr_group_1_IdCtepeiielpdl"
"023","023","Intereses de Capitales tomados en préstamo e invertidos en la producción de la renta (PJND)",0.22,3000,0,"PJND","l10n_ve_tax_islr.islr_group_1_IdCtepeiielpdl"
"023","023","Intereses de Capitales tomados en préstamo e invertidos en la producción de la renta (PJND)",0.34,-1,0,"PJND","l10n_ve_tax_islr.islr_group_1_IdCtepeiielpdl"
"024","024","Intereses provenientes de préstamos y otros créditos pagaderos a instituciones financieras constituidas en el exterior y no domiciliadas en el país (PJND)",0.0495,0,0,"PJND","l10n_ve_tax_islr.islr_group_1_Ipdpyocppaifce"
"025","025","Intereses pagados por las personas jurídicas o comunidades a cualquier otra persona natural, jurídica o comunidad (PNR)",0.03,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_Ipplpjoccacopn"
"026","026","Intereses pagados por las personas jurídicas o comunidades a cualquier otra persona natural, jurídica o comunidad (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_Ipplpjoccacopn"
"027","027","Intereses pagados por las personas jurídicas o comunidades a cualquier otra persona natural, jurídica o comunidad (PJD)",0.05,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_Ipplpjoccacopn"
"028","028","Intereses pagados por las personas jurídicas o comunidades a cualquier otra persona natural, jurídica o comunidad (PJND)",0.15,2000,0,"PJND","l10n_ve_tax_islr.islr_group_1_Ipplpjoccacopn"
"028","028","Intereses pagados por las personas jurídicas o comunidades a cualquier otra persona natural, jurídica o comunidad (PJND)",0.22,3000,0,"PJND","l10n_ve_tax_islr.islr_group_1_Ipplpjoccacopn"
"028","028","Intereses pagados por las personas jurídicas o comunidades a cualquier otra persona natural, jurídica o comunidad (PJND)",0.34,-1,0,"PJND","l10n_ve_tax_islr.islr_group_1_Ipplpjoccacopn"
"029","029","Enriquecimientos Netos de las Agencias Internacionales cuando el pagador sea una personas jurídica o comunidad domiciliada en el país (PJND)",0.15,2000,0,"PJND","l10n_ve_tax_islr.islr_group_1_ENdlAI"
"029","029","Enriquecimientos Netos de las Agencias Internacionales cuando el pagador sea una personas jurídica o comunidad domiciliada en el país (PJND)",0.22,3000,0,"PJND","l10n_ve_tax_islr.islr_group_1_ENdlAI"
"029","029","Enriquecimientos Netos de las Agencias Internacionales cuando el pagador sea una personas jurídica o comunidad domiciliada en el país (PJND)",0.34,-1,0,"PJND","l10n_ve_tax_islr.islr_group_1_ENdlAI"
"030","030","Enriquecimientos Netos de Gastos de Transporte conformados por fletes pagados a agencias o empresas de transporte internacional constituidas y domiciliadas en el exterior (PNNR)",0.15,2000,0,"PNNR","l10n_ve_tax_islr.islr_group_1_ENdGdT"
"030","030","Enriquecimientos Netos de Gastos de Transporte conformados por fletes pagados a agencias o empresas de transporte internacional constituidas y domiciliadas en el exterior (PNNR)",0.22,3000,0,"PNNR","l10n_ve_tax_islr.islr_group_1_ENdGdT"
"030","030","Enriquecimientos Netos de Gastos de Transporte conformados por fletes pagados a agencias o empresas de transporte internacional constituidas y domiciliadas en el exterior (PNNR)",0.34,-1,0,"PNNR","l10n_ve_tax_islr.islr_group_1_ENdGdT"
"031","031","Enriquecimientos Netos de Gastos de Transporte conformados por fletes pagados a agencias o empresas de transporte internacional constituidas y domiciliadas en el exterior (PJND)",0.15,2000,0,"PJND","l10n_ve_tax_islr.islr_group_1_ENdGdT"
"031","031","Enriquecimientos Netos de Gastos de Transporte conformados por fletes pagados a agencias o empresas de transporte internacional constituidas y domiciliadas en el exterior (PJND)",0.22,3000,0,"PJND","l10n_ve_tax_islr.islr_group_1_ENdGdT"
"031","031","Enriquecimientos Netos de Gastos de Transporte conformados por fletes pagados a agencias o empresas de transporte internacional constituidas y domiciliadas en el exterior (PJND)",0.34,-1,0,"PJND","l10n_ve_tax_islr.islr_group_1_ENdGdT"
"032","032","Enriquecimientos Netos de Exhibición de Películas, Cine o la Televisión (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_ENdEdPCoolT"
"033","033","Enriquecimientos Netos de Exhibición de Películas, Cine o la Televisión (PJND)",0.15,2000,0,"PJND","l10n_ve_tax_islr.islr_group_1_ENdEdPCoolT"
"033","033","Enriquecimientos Netos de Exhibición de Películas, Cine o la Televisión (PJND)",0.22,3000,0,"PJND","l10n_ve_tax_islr.islr_group_1_ENdEdPCoolT"
"033","033","Enriquecimientos Netos de Exhibición de Películas, Cine o la Televisión (PJND)",0.34,-1,0,"PJND","l10n_ve_tax_islr.islr_group_1_ENdEdPCoolT"
"034","034","Enriquecimientos obtenidos por concepto de regalías y demás participaciones análogas (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_Eopcdryddpa"
"035","035","Enriquecimientos obtenidos por concepto de regalías y demás participaciones análogas (PJND)",0.15,2000,0,"PJND","l10n_ve_tax_islr.islr_group_1_Eopcdryddpa"
"035","035","Enriquecimientos obtenidos por concepto de regalías y demás participaciones análogas (PJND)",0.22,3000,0,"PJND","l10n_ve_tax_islr.islr_group_1_Eopcdryddpa"
"035","035","Enriquecimientos obtenidos por concepto de regalías y demás participaciones análogas (PJND)",0.34,-1,0,"PJND","l10n_ve_tax_islr.islr_group_1_Eopcdryddpa"
"036","036","Enriquecimientos obtenidos por las Remuneraciones, Honorarios y pagos análogos por Asistencia Técnica (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_EoplRHyppapAT"
"037","037","Enriquecimientos obtenidos por las Remuneraciones, Honorarios y pagos análogos por Asistencia Técnica (PJND)",0.15,2000,0,"PJND","l10n_ve_tax_islr.islr_group_1_EoplRHyppapAT"
"037","037","Enriquecimientos obtenidos por las Remuneraciones, Honorarios y pagos análogos por Asistencia Técnica (PJND)",0.22,3000,0,"PJND","l10n_ve_tax_islr.islr_group_1_EoplRHyppapAT"
"037","037","Enriquecimientos obtenidos por las Remuneraciones, Honorarios y pagos análogos por Asistencia Técnica (PJND)",0.34,-1,0,"PJND","l10n_ve_tax_islr.islr_group_1_EoplRHyppapAT"
"038","038","Enriquecimientos obtenidos por Servicios Tecnológicos utilizados en el país o cedidos a Terceros (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_EopSTueeepocaT"
"039","039","Enriquecimientos obtenidos por Servicios Tecnológicos utilizados en el país o cedidos a Terceros (PJND)",0.15,2000,0,"PJND","l10n_ve_tax_islr.islr_group_1_EopSTueeepocaT"
"039","039","Enriquecimientos obtenidos por Servicios Tecnológicos utilizados en el país o cedidos a Terceros (PJND)",0.22,3000,0,"PJND","l10n_ve_tax_islr.islr_group_1_EopSTueeepocaT"
"039","039","Enriquecimientos obtenidos por Servicios Tecnológicos utilizados en el país o cedidos a Terceros (PJND)",0.34,-1,0,"PJND","l10n_ve_tax_islr.islr_group_1_EopSTueeepocaT"
"040","040","Enriquecimientos Netos derivados de las Primas de Seguros y Reaseguros (PJND)",0.1,0,0,"PJND","l10n_ve_tax_islr.islr_group_1_ENddlPdSSyR"
"041","041","Ganancias Obtenidas por Juegos y Apuestas (PNR)",0.34,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_GOpJyA"
"042","042","Ganancias Obtenidas por Juegos y Apuestas (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_GOpJyA"
"043","043","Ganancias Obtenidas por Juegos y Apuestas (PJD)",0.34,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_GOpJyA"
"044","044","Ganancias Obtenidas por Juegos y Apuestas (PJND)",0.34,0,0,"PJND","l10n_ve_tax_islr.islr_group_1_GOpJyA"
"045","045","Ganancias Obtenidas por Premios de Loterías y de Hipódromos (PNR)",0.16,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_GOpPdLyddH"
"046","046","Ganancias Obtenidas por Premios de Loterías y de Hipódromos (PNNR)",0.16,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_GOpPdLyddH"
"047","047","Ganancias Obtenidas por Premios de Loterías y de Hipódromos (PJD)",0.16,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_GOpPdLyddH"
"048","048","Ganancias Obtenidas por Premios de Loterías y de Hipódromos (PJND)",0.16,0,0,"PJND","l10n_ve_tax_islr.islr_group_1_GOpPdLyddH"
"049","049","Pagos a Propietarios de Animales de Carrera por concepto de Premios (PNR)",0.03,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_PaPdAdCppcdP"
"050","050","Pagos a Propietarios de Animales de Carrera por concepto de Premios (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_PaPdAdCppcdP"
"051","051","Pagos a Propietarios de Animales de Carrera por concepto de Premios (PJD)",0.05,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_PaPdAdCppcdP"
"052","052","Pagos a Propietarios de Animales de Carrera por concepto de Premios (PJND)",0.05,0,0,"PJND","l10n_ve_tax_islr.islr_group_1_PaPdAdCppcdP"
"053","053","Pagos a Empresas Contratistas o Subcontratistas domiciliadas o no en el país, por la ejecución de obras o de la prestación de servicios en base a valuaciones y ordenes de pago (PNR)",0.01,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_PaECoSplledood"
"054","054","Pagos a Empresas Contratistas o Subcontratistas domiciliadas o no en el país, por la ejecución de obras o de la prestación de servicios en base a valuaciones y ordenes de pago (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_PaECoSplledood"
"055","055","Pagos a Empresas Contratistas o Subcontratistas domiciliadas o no en el país, por la ejecución de obras o de la prestación de servicios en base a valuaciones y ordenes de pago (PJD)",0.02,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_PaECoSplledood"
"056","056","Pagos a Empresas Contratistas o Subcontratistas domiciliadas o no en el país, por la ejecución de obras o de la prestación de servicios en base a valuaciones y ordenes de pago (PJND)",0.15,2000,0,"PJND","l10n_ve_tax_islr.islr_group_1_PaECoSplledood"
"056","056","Pagos a Empresas Contratistas o Subcontratistas domiciliadas o no en el país, por la ejecución de obras o de la prestación de servicios en base a valuaciones y ordenes de pago (PJND)",0.22,3000,0,"PJND","l10n_ve_tax_islr.islr_group_1_PaECoSplledood"
"056","056","Pagos a Empresas Contratistas o Subcontratistas domiciliadas o no en el país, por la ejecución de obras o de la prestación de servicios en base a valuaciones y ordenes de pago (PJND)",0.34,-1,0,"PJND","l10n_ve_tax_islr.islr_group_1_PaECoSplledood"
"057","057","Pagos de los Administradores de bienes inmuebles a los Arrendadores de los bienes inmuebles situados en el país (PNR)",0.03,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_PdlAdbiaalA"
"058","058","Pagos de los Administradores de bienes inmuebles a los Arrendadores de los bienes inmuebles situados en el país (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_PdlAdbiaalA"
"059","059","Pagos de los Administradores de bienes inmuebles a los Arrendadores de los bienes inmuebles situados en el país (PJD)",0.05,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_PdlAdbiaalA"
"060","060","Pagos de los Administradores de bienes inmuebles a los Arrendadores de los bienes inmuebles situados en el país (PJND)",0.15,2000,0,"PJND","l10n_ve_tax_islr.islr_group_1_PdlAdbiaalA"
"060","060","Pagos de los Administradores de bienes inmuebles a los Arrendadores de los bienes inmuebles situados en el país (PJND)",0.22,3000,0,"PJND","l10n_ve_tax_islr.islr_group_1_PdlAdbiaalA"
"060","060","Pagos de los Administradores de bienes inmuebles a los Arrendadores de los bienes inmuebles situados en el país (PJND)",0.34,-1,0,"PJND","l10n_ve_tax_islr.islr_group_1_PdlAdbiaalA"
"061","061","Cánones de Arrendamientos de Bienes Muebles situados en el país (PNR)",0.03,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_CdAdBM"
"062","062","Cánones de Arrendamientos de Bienes Muebles situados en el país (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_CdAdBM"
"063","063","Cánones de Arrendamientos de Bienes Muebles situados en el país (PJD)",0.05,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_CdAdBM"
"064","064","Cánones de Arrendamientos de Bienes Muebles situados en el país (PJND)",0.05,0,0,"PJND","l10n_ve_tax_islr.islr_group_1_CdAdBM"
"065","065","Pagos de las Empresas Emisoras de Tarjetas de Crédito o Consumo por la Venta de Bienes y servicios, o cualquier otro concepto (PNR)",0.03,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_PdlEEdTddCoCpl"
"066","066","Pagos de las Empresas Emisoras de Tarjetas de Crédito o Consumo por la Venta de Bienes y servicios, o cualquier otro concepto (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_PdlEEdTddCoCpl"
"067","067","Pagos de las Empresas Emisoras de Tarjetas de Crédito o Consumo por la Venta de Bienes y servicios, o cualquier otro concepto (PJD)",0.05,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_PdlEEdTddCoCpl"
"068","068","Pagos de las Empresas Emisoras de Tarjetas de Crédito o Consumo por la Venta de Bienes y servicios, o cualquier otro concepto (PJND)",0.05,0,0,"PJND","l10n_ve_tax_islr.islr_group_1_PdlEEdTddCoCpl"
"069","069","Pagos de las Empresas Emisoras de Tarjetas de Crédito por la venta de gasolina en las Estaciones de Servicios (PNR)",0.01,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_PdlEEdTddCplvd"
"070","070","Pagos de las Empresas Emisoras de Tarjetas de Crédito por la venta de gasolina en las Estaciones de Servicios (PJD)",0.01,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_PdlEEdTddCplvd"
"071","071","Pagos por Gastos de Transporte conformados por Fletes (PNR)",0.01,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_PpGdTcpFF"
"072","072","Pagos por Gastos de Transporte conformados por Fletes (PJD)",0.03,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_PpGdTcpFF"
"073","073","Pagos de las Empresas de Seguro, las Sociedades de Corretaje de Seguros y las Empresas de Reaseguros por las Prestaciones de Servicios que le son propios (PNR)",0.03,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_PdlEdSlSSdCdSy"
"074","074","Pagos de las Empresas de Seguro, las Sociedades de Corretaje de Seguros y las Empresas de Reaseguros por las Prestaciones de Servicios que le son propios (PJD)",0.05,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_PdlEdSlSSdCdSy"
"075","075","Pagos de las Empresas de Seguro a sus Contratistas por la Reparación de Daños sufridos de sus Asegurados (PNR)",0.03,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_PdlEdSassCplRd"
"076","076","Pagos de las Empresas de Seguro a sus Contratistas por la Reparación de Daños sufridos de sus Asegurados (PJD)",0.05,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_PdlEdSassCplRd"
"077","077","Pagos de las Empresas de Seguros a Clínicas, Hospitales y/o Centros de Salud por la Atención Medica a sus Asegurados (PNR)",0.03,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_PdlEdSaCCHyCdS"
"078","078","Pagos de las Empresas de Seguros a Clínicas, Hospitales y/o Centros de Salud por la Atención Medica a sus Asegurados (PJD)",0.05,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_PdlEdSaCCHyCdS"
"079","079","Cantidades que se paguen por adquisición de Fondos de Comercio situados en el país (PNR)",0.03,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_CqsppadFFdC"
"080","080","Cantidades que se paguen por adquisición de Fondos de Comercio situados en el país (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_CqsppadFFdC"
"081","081","Cantidades que se paguen por adquisición de Fondos de Comercio situados en el país (PJD)",0.05,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_CqsppadFFdC"
"082","082","Cantidades que se paguen por adquisición de Fondos de Comercio situados en el país (PJND)",0.05,0,0,"PJND","l10n_ve_tax_islr.islr_group_1_CqsppadFFdC"
"083","083","Pagos por Servicios de Publicidad y Propaganda y la Cesión de la Venta de Espacios para tales fines (PNR)",0.03,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_PpSdPyPyylCdlV"
"084","084","Pagos por Servicios de Publicidad y Propaganda y la Cesión de la Venta de Espacios para tales fines (PJD)",0.05,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_PpSdPyPyylCdlV"
"085","085","Pagos por Servicios de Publicidad y Propaganda y la Cesión de la Venta de Espacios para tales fines (PJND)",0.05,0,0,"PJND","l10n_ve_tax_islr.islr_group_1_PpSdPyPyylCdlV"
"086","086","Pagos por Servicios de Publicidad y Propaganda y la Cesión de la Venta de Espacios para tales fines a Emisoras de Radio (PJD)",0.03,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_PpSdPyPyylCdlV"
